ID         Site                     App        Workdir                    State              Tags                                                                                                         
33979653   2x2_production_polaris   analysis   workdir/v0_120_analysis    JOB_FINISHED       {'index': '120', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979654   2x2_production_polaris   analysis   workdir/v0_121_analysis    JOB_FINISHED       {'index': '121', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979655   2x2_production_polaris   analysis   workdir/v0_122_analysis    AWAITING_PARENTS   {'index': '122', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979656   2x2_production_polaris   analysis   workdir/v0_123_analysis    JOB_FINISHED       {'index': '123', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979657   2x2_production_polaris   analysis   workdir/v0_124_analysis    JOB_FINISHED       {'index': '124', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979658   2x2_production_polaris   analysis   workdir/v0_125_analysis    JOB_FINISHED       {'index': '125', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979659   2x2_production_polaris   analysis   workdir/v0_126_analysis    JOB_FINISHED       {'index': '126', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979660   2x2_production_polaris   analysis   workdir/v0_127_analysis    JOB_FINISHED       {'index': '127', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979661   2x2_production_polaris   analysis   workdir/v0_128_analysis    JOB_FINISHED       {'index': '128', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979662   2x2_production_polaris   analysis   workdir/v0_129_analysis    JOB_FINISHED       {'index': '129', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979663   2x2_production_polaris   analysis   workdir/v0_130_analysis    AWAITING_PARENTS   {'index': '130', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '130'}   
33979664   2x2_production_polaris   analysis   workdir/v0_131_analysis    AWAITING_PARENTS   {'index': '131', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '130'}   
