ID         Site                     App        Workdir                    State          Tags                                                                                                         
33990678   2x2_production_polaris   analysis   workdir/v2_108_analysis    JOB_FINISHED   {'index': '108', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990679   2x2_production_polaris   analysis   workdir/v2_109_analysis    JOB_FINISHED   {'index': '109', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990680   2x2_production_polaris   analysis   workdir/v2_110_analysis    JOB_FINISHED   {'index': '110', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990681   2x2_production_polaris   analysis   workdir/v2_111_analysis    JOB_FINISHED   {'index': '111', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990682   2x2_production_polaris   analysis   workdir/v2_112_analysis    JOB_FINISHED   {'index': '112', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990683   2x2_production_polaris   analysis   workdir/v2_113_analysis    JOB_FINISHED   {'index': '113', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990684   2x2_production_polaris   analysis   workdir/v2_114_analysis    JOB_FINISHED   {'index': '114', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990685   2x2_production_polaris   analysis   workdir/v2_115_analysis    JOB_FINISHED   {'index': '115', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990686   2x2_production_polaris   analysis   workdir/v2_116_analysis    JOB_FINISHED   {'index': '116', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990687   2x2_production_polaris   analysis   workdir/v2_117_analysis    JOB_FINISHED   {'index': '117', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990688   2x2_production_polaris   analysis   workdir/v2_118_analysis    JOB_FINISHED   {'index': '118', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990689   2x2_production_polaris   analysis   workdir/v2_119_analysis    JOB_FINISHED   {'index': '119', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990690   2x2_production_polaris   analysis   workdir/v2_120_analysis    JOB_FINISHED   {'index': '120', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990691   2x2_production_polaris   analysis   workdir/v2_121_analysis    JOB_FINISHED   {'index': '121', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990692   2x2_production_polaris   analysis   workdir/v2_122_analysis    FAILED         {'index': '122', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990693   2x2_production_polaris   analysis   workdir/v2_123_analysis    JOB_FINISHED   {'index': '123', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990694   2x2_production_polaris   analysis   workdir/v2_124_analysis    JOB_FINISHED   {'index': '124', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990695   2x2_production_polaris   analysis   workdir/v2_125_analysis    JOB_FINISHED   {'index': '125', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990696   2x2_production_polaris   analysis   workdir/v2_126_analysis    JOB_FINISHED   {'index': '126', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990697   2x2_production_polaris   analysis   workdir/v2_127_analysis    JOB_FINISHED   {'index': '127', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990698   2x2_production_polaris   analysis   workdir/v2_128_analysis    JOB_FINISHED   {'index': '128', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990699   2x2_production_polaris   analysis   workdir/v2_129_analysis    JOB_FINISHED   {'index': '129', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '129'}   
33990700   2x2_production_polaris   analysis   workdir/v2_130_analysis    JOB_FINISHED   {'index': '130', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '129'}   
