ID         Site                     App     Workdir              State           Tags                                                                                               
33961844   2x2_production_polaris   larnd   workdir/116_larnd    JOB_FINISHED    {'index': '116', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961845   2x2_production_polaris   larnd   workdir/117_larnd    JOB_FINISHED    {'index': '117', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961846   2x2_production_polaris   larnd   workdir/118_larnd    JOB_FINISHED    {'index': '118', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961847   2x2_production_polaris   larnd   workdir/119_larnd    JOB_FINISHED    {'index': '119', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961848   2x2_production_polaris   larnd   workdir/120_larnd    JOB_FINISHED    {'index': '120', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961849   2x2_production_polaris   larnd   workdir/121_larnd    JOB_FINISHED    {'index': '121', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961850   2x2_production_polaris   larnd   workdir/122_larnd    RESTART_READY   {'index': '122', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961851   2x2_production_polaris   larnd   workdir/123_larnd    JOB_FINISHED    {'index': '123', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961852   2x2_production_polaris   larnd   workdir/124_larnd    JOB_FINISHED    {'index': '124', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961853   2x2_production_polaris   larnd   workdir/125_larnd    JOB_FINISHED    {'index': '125', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961854   2x2_production_polaris   larnd   workdir/126_larnd    JOB_FINISHED    {'index': '126', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961855   2x2_production_polaris   larnd   workdir/127_larnd    JOB_FINISHED    {'index': '127', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961856   2x2_production_polaris   larnd   workdir/128_larnd    JOB_FINISHED    {'index': '128', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961857   2x2_production_polaris   larnd   workdir/129_larnd    JOB_FINISHED    {'index': '129', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961858   2x2_production_polaris   larnd   workdir/130_larnd    JOB_FINISHED    {'index': '130', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961859   2x2_production_polaris   larnd   workdir/131_larnd    JOB_FINISHED    {'index': '131', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961860   2x2_production_polaris   larnd   workdir/132_larnd    JOB_FINISHED    {'index': '132', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961861   2x2_production_polaris   larnd   workdir/133_larnd    JOB_FINISHED    {'index': '133', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961862   2x2_production_polaris   larnd   workdir/134_larnd    JOB_FINISHED    {'index': '134', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961863   2x2_production_polaris   larnd   workdir/135_larnd    JOB_FINISHED    {'index': '135', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961864   2x2_production_polaris   larnd   workdir/136_larnd    JOB_FINISHED    {'index': '136', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961865   2x2_production_polaris   larnd   workdir/137_larnd    RESTART_READY   {'index': '137', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961866   2x2_production_polaris   larnd   workdir/138_larnd    JOB_FINISHED    {'index': '138', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961867   2x2_production_polaris   larnd   workdir/139_larnd    JOB_FINISHED    {'index': '139', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961868   2x2_production_polaris   larnd   workdir/140_larnd    JOB_FINISHED    {'index': '140', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961869   2x2_production_polaris   larnd   workdir/141_larnd    RESTART_READY   {'index': '141', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961870   2x2_production_polaris   larnd   workdir/142_larnd    RESTART_READY   {'index': '142', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961871   2x2_production_polaris   larnd   workdir/143_larnd    JOB_FINISHED    {'index': '143', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33963052   2x2_production_polaris   larnd   workdir/144_larnd    RESTART_READY   {'index': '144', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33967666   2x2_production_polaris   larnd   workdir/145_larnd    JOB_FINISHED    {'index': '145', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0', 'job_start': '145'}   
33967667   2x2_production_polaris   larnd   workdir/146_larnd    JOB_FINISHED    {'index': '146', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0', 'job_start': '145'}   
33967668   2x2_production_polaris   larnd   workdir/147_larnd    JOB_FINISHED    {'index': '147', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0', 'job_start': '145'}   
33967669   2x2_production_polaris   larnd   workdir/148_larnd    JOB_FINISHED    {'index': '148', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0', 'job_start': '145'}   
33967670   2x2_production_polaris   larnd   workdir/149_larnd    JOB_FINISHED    {'index': '149', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0', 'job_start': '145'}   
33967671   2x2_production_polaris   larnd   workdir/150_larnd    JOB_FINISHED    {'index': '150', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0', 'job_start': '145'}   
33967672   2x2_production_polaris   larnd   workdir/151_larnd    JOB_FINISHED    {'index': '151', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0', 'job_start': '145'}   
33967673   2x2_production_polaris   larnd   workdir/152_larnd    JOB_FINISHED    {'index': '152', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0', 'job_start': '145'}   
33967674   2x2_production_polaris   larnd   workdir/153_larnd    JOB_FINISHED    {'index': '153', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0', 'job_start': '145'}   
33967675   2x2_production_polaris   larnd   workdir/154_larnd    JOB_FINISHED    {'index': '154', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0', 'job_start': '145'}   
33967676   2x2_production_polaris   larnd   workdir/155_larnd    JOB_FINISHED    {'index': '155', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0', 'job_start': '145'}   
